Listing,Price,Location,Link,Image
"XL 250R $1,750 OBO",1750.00,Milliken,https://seattle.craigslist.org/see/mcd/d/kittitas-new-2026-yamaha-yz125x/7897405538.html,https://images.craigslist.org/00K0K_ep4BGpVxcGf_0CI0rW_600x450.jpg
2004 Harley-Davidson FLHTCUI Ultra Classic Electra Glide,6000.00,Saint Cloud,https://seattle.craigslist.org/see/mcd/d/kittitas-new-2026-yamaha-tw-200-on-off/7897405368.html,https://images.craigslist.org/01111_a4xwOGkIq4U_0t20CI_600x450.jpg
2018 HD Fat Boy,18500.00,Warren,https://sandiego.craigslist.org/csd/mcd/d/chatsworth-2020-mv-agusta-f3-800-rc/7897405343.html,https://images.craigslist.org/00101_4nMxQ6zxbNT_0t20CI_600x450.jpg
1998 harley davidson aniversary custom bike,9250.00,Canton,https://yakima.craigslist.org/mcd/d/kittitas-new-2026-yamaha-tw200-dual/7897405166.html,https://images.craigslist.org/00I0I_lsKsL7475vc_0i90a9_600x450.jpg
"Apollo thunder 300 DLX $3,295",3295.00,Clovis,https://portland.craigslist.org/clk/mcy/d/vancouver-2000-bmw-r1150gs-3000-obo/7897404327.html,https://images.craigslist.org/00s0s_i2AI8jmPQde_0CI0CI_600x450.jpg
1977 Yamaha XT500 Vintage 70s Motorcycle,1000.00,Los Angeles,https://yakima.craigslist.org/mcd/d/kittitas-new-2023-benelli-tnt135-street/7897404125.html,https://images.craigslist.org/00s0s_e7JXsjuktml_0CI0t2_600x450.jpg
Plated Yamaha 450cc,3995.00,Los Angeles,https://seattle.craigslist.org/see/mcd/d/kittitas-new-2023-benelli-tnt-135/7897403850.html,https://images.craigslist.org/00u0u_gcYG2dfA6hi_0t20CI_600x450.jpg
"Apollo x5 4 speed dirt bike $1,595 cash price plus taxes and fees",1595.00,Clovis,https://sandiego.craigslist.org/csd/mcd/d/san-diego-2018-triumph-bonneville-t120/7897403656.html,https://images.craigslist.org/00W0W_9OqxgsOhOcV_0CI0CI_600x450.jpg
2017 Harley-Davidson FLTRXS - Road Glide Special SKU:U79106 V Tw,12995.00,Folsom,https://losangeles.craigslist.org/lac/mcd/d/rancho-cordova-2024-yamaha-tenere-700/7897403320.html,https://images.craigslist.org/00W0W_db3aqbplLs9_0gw0co_600x450.jpg
Harley Davidson  Heritage Softail,8500.00,Anderson,https://seattle.craigslist.org/see/mcd/d/kittitas-2026-honda-crf-50-dirt-bike/7897402991.html,https://images.craigslist.org/01111_fve2rE9omYF_0CI0t2_600x450.jpg
2022 Can-Am Ryker 600cc 3224 miles,8500.00,El Sobrante,https://sfbay.craigslist.org/sfc/mcd/d/rancho-cordova-2024-yamaha-tenere-700/7897402882.html,https://images.craigslist.org/00j0j_aX662J6Yplu_0x20oM_600x450.jpg
2002 Yamaha V-Star 1100,4000.00,El Mirage,https://yakima.craigslist.org/mcd/d/kittitas-2026-honda-crf50f-dirt-bike/7897402812.html,https://images.craigslist.org/00q0q_3PxGDLlo1aW_0CI0t2_600x450.jpg
2017 Harley-Davidson FLTRXS - Road Glide Special SKU:U79106 V Tw,12995.00,Folsom,https://denver.craigslist.org/mcy/d/aurora-2013-suzuki-svf-650-gladius/7897402520.html,https://images.craigslist.org/00W0W_db3aqbplLs9_0gw0co_600x450.jpg
Vespa ET2,2000.00,Los Angeles,https://sacramento.craigslist.org/mcd/d/rancho-cordova-2024-yamaha-tenere-700/7897402437.html,https://images.craigslist.org/00u0u_2L3KxnXzLaD_0t20CI_600x450.jpg
